participant_id,block,trial,time,type,mtr_auto,gauge1_level,gauge1_oob,gauge1_reset,gauge2_level,gauge2_oob,gauge2_reset,gauge3_level,gauge3_oob,gauge3_reset,gauge4_level,gauge4_oob,gauge4_reset,total_oob,total_reset,mtr_rxn_time,nav_auto,uav1_moving,uav1_idle,uav1_fuel,uav1_patha_length,uav1_patha_stormchance,uav1_pathb_length,uav1_pathb_stormchance,uav1_onpath,uav1_stormhit,uav1_goal,uav1_atgoal,uav1_goalsreached,uav1_score,uav2_moving,uav2_idle,uav2_fuel,uav2_patha_length,uav2_patha_stormchance,uav2_pathb_length,uav2_pathb_stormchance,uav2_onpath,uav2_stormhit,uav2_goal,uav2_atgoal,uav2_goalsreached,uav2_score,uav3_moving,uav3_idle,uav3_fuel,uav3_patha_length,uav3_patha_stormchance,uav3_pathb_length,uav3_pathb_stormchance,uav3_onpath,uav3_stormhit,uav3_goal,uav3_atgoal,uav3_goalsreached,uav3_score,uav4_moving,uav4_idle,uav4_fuel,uav4_patha_length,uav4_patha_stormchance,uav4_pathb_length,uav4_pathb_stormchance,uav4_onpath,uav4_stormhit,uav4_goal,uav4_atgoal,uav4_goalsreached,uav4_score,total_goals_reached,total_score,chat_auto,message,response,correct_answer,chat_rxn_time
0938e80b,3,1,12:18:15,Monitor Reset,True,80,False,True,120,False,False,100,False,False,60,False,False,4,4,4.111504,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,844.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:18,UAV at Goal,True,80,False,False,120,False,False,100,False,False,60,False,False,4,4,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,203,0.64,216,0.95,NA,True,4,True,1,5,2,15,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:19,UAV Idle,True,80,False,False,120,False,False,100,False,False,60,False,False,4,4,N/A,False,False,True,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:19,UAV Path A,True,80,False,False,120,False,False,100,False,False,60,False,False,4,4,N/A,False,False,True,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,True,False,1000,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:20,UAV Hit Storm,True,80,False,False,120,False,False,100,False,False,53,False,False,4,4,N/A,False,False,True,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,896.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:20,Chat Msg,True,80,False,False,120,False,False,100,False,False,58.7,False,False,4,4,N/A,False,False,True,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,892.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:21,UAV Path A,True,80,False,False,120,False,False,100,False,False,53,False,False,4,4,N/A,False,True,False,787.0,271,0.02,274,0.01,A,False,HB,False,1,0,False,False,892.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:21,Monitor OOB,True,80,False,False,104,True,False,100,False,False,53,False,False,5,4,N/A,False,True,False,787.0,271,0.02,274,0.01,A,False,HB,False,1,0,False,False,892.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:22,UAV Hit Storm,True,80,False,False,104,True,False,100,False,False,53,False,False,5,4,N/A,False,True,False,712.0,271,0.02,274,0.01,A,False,HB,False,1,0,False,False,842.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:23,UAV Path A,True,80,False,False,104,True,False,103.0,False,False,53,False,False,5,4,N/A,False,True,False,640.0,271,0.02,274,0.01,A,False,HB,False,1,0,False,False,838.0,217,0.85,225,0.95,A,True,2,False,0,0,True,False,1000,261,0.53,302,0.08,A,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:24,Monitor Reset,True,80,False,False,120,False,True,105,False,False,53,False,False,5,5,3.158833,False,True,False,565.0,271,0.02,274,0.01,A,False,HB,False,1,0,True,False,784.0,217,0.85,225,0.95,A,True,2,False,0,0,True,False,976.0,261,0.53,302,0.08,A,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,2,15,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:25,UAV at Goal,True,80,False,False,120,False,False,105,False,False,53,False,False,5,5,N/A,False,False,False,2000,271,0.02,274,0.01,NA,False,HB,True,2,10,True,False,720.0,217,0.85,225,0.95,A,True,2,False,0,0,True,False,960.0,261,0.53,302,0.08,A,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,3,25,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:25,UAV at Goal,True,80,False,False,120,False,False,105,False,False,53,False,False,5,5,N/A,False,False,False,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,217,0.85,225,0.95,NA,False,2,True,1,10,True,False,952.0,261,0.53,302,0.08,A,False,3,False,0,0,False,False,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:27,UAV Idle,True,86,False,False,120,False,False,105,False,False,53,False,False,5,5,N/A,False,False,False,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,914.0,261,0.53,302,0.08,A,False,3,False,0,0,False,True,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,N/A,,N/A
0938e80b,3,1,12:18:27,Chat Reply,True,86,False,False,120,False,False,105,False,False,53,False,False,5,5,N/A,False,False,False,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,910.0,261,0.53,302,0.08,A,False,3,False,0,0,False,True,738.0,565,0.95,607,0.16,NA,False,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,3,TARGET 3,6.866815
0938e80b,3,1,12:18:30,UAV Path A,True,86,False,False,120,False,False,105,False,False,29,False,False,5,5,N/A,False,False,False,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,843.0,261,0.53,302,0.08,A,False,3,False,0,0,True,False,738.0,565,0.95,607,0.16,A,True,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,N/A,TARGET 3,N/A
0938e80b,3,1,12:18:33,Monitor OOB,True,76,False,False,141,True,False,135,False,False,29,False,False,6,5,N/A,False,False,False,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,760.0,261,0.53,302,0.08,A,False,3,False,0,0,True,False,574.0,565,0.95,607,0.16,A,True,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,N/A,TARGET 3,N/A
0938e80b,3,1,12:18:33,mtr_auto OFF,False,76,False,False,128.8,True,False,135,False,False,29,False,False,6,5,N/A,False,False,False,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,755.0,261,0.53,302,0.08,A,False,3,False,0,0,True,False,564.0,565,0.95,607,0.16,A,True,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,N/A,TARGET 3,N/A
0938e80b,3,1,12:18:34,UAV Idle,False,76,False,False,137.5,True,False,135,False,False,29,False,False,6,5,N/A,False,False,True,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,751.0,261,0.53,302,0.08,A,False,3,False,0,0,True,False,556.0,565,0.95,607,0.16,A,True,HB,False,1,0,4,35,False,What is the current goal of UAV GREEN?,N/A,TARGET 3,N/A
0938e80b,3,1,12:18:34,Chat Msg,False,76,False,False,141,True,False,135,False,False,29,False,False,6,5,N/A,False,False,True,2000,271,0.02,288,0.13,NA,False,1,False,2,0,False,False,688.0,685,0.18,695,0.31,NA,False,HB,False,1,0,True,False,741.0,261,0.53,302,0.08,A,False,3,False,0,0,True,False,536.0,565,0.95,607,0.16,A,True,HB,False,1,0,4,35,False,What is the fuel level of UAV GREEN?,N/A,,N/A
